Номер1	Номер2	Номер3	Номер4	Номер5	Номер6	Номер7	Номер8	Номер9	Номер10	Номер11	Номер12	Номер13	Номер14	Номер15	Номер16	Номер17	Номер18	Номер19	Номер20	Номер21	Номер22	Номер23	Номер24	Номер25	Номер26	Номер27	Номер28	Номер29	Номер30	Номер31	Номер32	Номер33	Номер34	Номер35
0,91770286	0,116823542	0,946485087	0,041706558	0,590822711	0,361247095	0,528593977	0,093905158	0,360447434	0,040330791	0,654578809	0,101898352	0,537098171	0,05157479	0,525364175	0,142789392	0,079414018	0,563187841	0,40445246	0,742729473	0,875662154	0,654244507	0,482390824	0,443452181	0,844022051	0,517942357	0,360042726	0,218420335	0,427821089	0,740417466	0,379156838	0,641995639	0,254357923	0,307619661	0,391722545
0,701948569	0,139726314	0,690644223	0,589185693	0,694849534	0,547130851	0,557713321	0,572844301	0,820092826	0,169510426	0,070323115	0,804259948	0,853283017	0,157174002	0,478116238	0,501731772	0,42074972	0,628801775	0,152888557	0,313577434	0,99066322	0,896028862	0,099580042	0,866350414	0,18414489	0,708471285	0,488749908	0,099247593	0,706436455	0,823202242	0,748168801	0,851001363	0,249032114	0,502012621	0,431287064
0,685861931	0,691844197	0,114656795	0,849939468	0,199921188	0,810226772	0,803508373	0,572075553	0,033042042	0,678533526	0,037892746	0,068047099	0,524447676	0,278157329	0,98467289	0,287993098	0,715862692	0,107946836	0,200129974	0,058318479	0,08853157	0,774021717	0,34753532	0,050709986	0,976646385	0,040213033	0,440628369	0,80688027	0,451614143	0,314798298	0,038976861	0,206364281	0,962092213	0,730898317	0,272008998
0,204653935	0,880169239	0,552045577	0,224594551	0,101281769	0,965741512	0,120612413	0,97491356	0,557285686	0,166569201	0,338504797	0,614657339	0,605885656	0,792000478	0,635499478	0,391079997	0,740079856	0,526648072	0,680721226	0,579642932	0,411467377	0,88912371	0,452971672	0,364644781	0,087148302	0,732841143	0,786892163	0,987381095	0,723866142	0,02291739	0,675042132	0,217087819	0,184667413	0,988126801	0,034112719
0,945739594	0,791572041	0,324181992	0,497521043	0,093808923	0,457787437	0,759432058	0,328518258	0,683418313	0,294040445	0,971358505	0,212957265	0,025632333	0,565925246	0,244715869	0,314844779	0,064336955	0,752714171	0,386066253	0,821921697	0,014694126	0,76237053	0,862303858	0,617212904	0,249024675	0,14801249	0,729030543	0,272869335	0,891485136	0,272219946	0,239018728	0,25220018	0,899643772	0,066317911	0,00414194
0,662581324	0,528209462	0,545592716	0,837460075	0,628321591	0,999893837	0,088059766	0,47425155	0,496080422	0,640391961	0,204237103	0,875080795	0,779792483	0,062617217	0,290294419	0,048269333	0,613482461	0,066927395	0,26358926	0,960997087	0,961887078	0,067639986	0,892301453	0,728163137	0,901921191	0,755887374	0,102089889	0,051807603	0,73526681	0,072212619	0,00278439	0,414168752	0,497860993	0,349564451	0,038666048
0,697243237	0,976870794	0,08822191	0,827509699	0,174269344	0,078954757	0,692492014	0,95542665	0,829598616	0,870984338	0,787862236	0,676161015	0,106462829	0,426372847	0,136165323	0,82237436	0,756091993	0,360140837	0,733053078	0,181173102	0,553878808	0,822513994	0,629561695	0,055473612	0,041772782	0,164353175	0,668916937	0,153754767	0,652799208	0,396139421	0,953236631	0,434142638	0,995618277	0,221429359	0,785470787
0,765002909	0,100516553	0,992849128	0,838828679	0,117846902	0,931461873	0,247346757	0,574915599	0,595682931	0,595685225	0,099129778	0,715225792	0,605301789	0,294558689	0,221642104	0,768747793	0,117196547	0,470025156	0,538751547	0,19386802	0,251552582	0,200870055	0,68472888	0,713588298	0,31811412	0,40926459	0,085947448	0,774785275	0,124287476	0,084036795	0,146874378	0,856872403	0,773648586	0,803457108	0,663362401
0,076293724	0,211447446	0,928812397	0,61974626	0,48744857	0,67589493	0,275724879	0,363815372	0,232840968	0,518114295	0,605430617	0,925042816	0,715196869	0,775904994	0,845820163	0,522271769	0,907752582	0,609675628	0,58966279	0,361677194	0,309261915	0,278720563	0,596965837	0,990986891	0,148946014	0,43737911	0,528127662	0,098051425	0,143106425	0,823724303	0,749260019	0,78066768	0,410372936	0,283031795	0,427209575
0,521896543	0,396208229	0,960378343	0,435194482	0,661241637	0,375415764	0,195625051	0,543361223	0,388058883	0,885167032	0,057094021	0,756266179	0,878008916	0,458462578	0,317972537	0,591549889	0,953299694	0,352600609	0,160143796	0,703794973	0,736895675	0,249950647	0,518570745	0,044488396	0,207905874	0,037999584	0,467824224	0,960324548	0,897255758	0,293577352	0,739404147	0,223895725	0,1305582	0,160551328	0,753314377
0,339093091	0,647745429	0,123897615	0,099731726	0,384859689	0,698551591	0,214157035	0,836781918	0,384600057	0,806905406	0,054425743	0,203626562	0,358990838	0,28664363	0,480683351	0,839000564	0,696663526	0,524905167	0,780240115	0,179979396	0,226336193	0,016217988	0,085822085	0,88890503	0,874330943	0,165192438	0,229572753	0,503093231	0,671782953	0,980494182	0,20596137	0,414714043	0,181924621	0,77184645	0,111970033
0,338352451	0,598372012	0,080900764	0,01120718	0,667558876	0,151711548	0,62406154	0,673614333	0,915544695	0,818304427	0,386029359	0,374793506	0,448231046	0,519941241	0,298342625	0,190993769	0,718673537	0,000143347	0,086111024	0,707367878	0,734635811	0,494526554	0,296025647	0,020989024	0,748100044	0,457899734	0,088292437	0,586238454	0,126885229	0,560825435	0,860364065	0,87927178	0,530925007	0,911852585	0,516379692
0,661103022	0,121131216	0,84298664	0,487092743	0,260064927	0,945383958	0,168850376	0,935710322	0,544042794	0,348060288	0,90768131	0,606700734	0,709043027	0,235641594	0,215217126	0,267977519	0,22007324	0,701957702	0,349929261	0,718693409	0,583596365	0,924448141	0,711811334	0,749425037	0,901164056	0,280202599	0,121741991	0,22904035	0,300431359	0,356129587	0,497959469	0,546044664	0,802472502	0,880276902	0,70343194
0,612728069	0,937729535	0,859231055	0,208867523	0,336790148	0,308209615	0,581185915	0,78211109	0,182933769	0,962514484	0,076844834	0,224166193	0,460190342	0,781171498	0,259645705	0,774927234	0,528743258	0,230144523	0,343313246	0,56356328	0,100951958	0,610305196	0,343910918	0,718881352	0,646029552	0,01497932	0,720626501	0,147081634	0,571157416	0,776638524	0,920009435	0,648249934	0,336417962	0,418362836	0,158192323
0,189461575	0,720864277	0,772169035	0,749649099	0,003452715	0,931714603	0,652864155	0,881429876	0,377924003	0,23393067	0,823313221	0,874221295	0,597068412	0,268833102	0,969388092	0,904463197	0,331315885	0,880267047	0,677191548	0,329457903	0,806636047	0,425946211	0,07399874	0,513482952	0,49272706	0,389820197	0,920576927	0,647824657	0,626740589	0,989961004	0,17375852	0,811475534	0,210888085	0,845185637	0,247991968
0,450925522	0,219256143	0,229265679	0,194895996	0,20371415	0,544968014	0,085027845	0,373773187	0,941542065	0,278869686	0,636672446	0,196788959	0,484979675	0,157517858	0,286110903	0,576808839	0,383195224	0,3561132	0,662436095	0,019255906	0,748535188	0,150177236	0,922731931	0,218228089	0,434940125	0,924139498	0,253963882	0,945123825	0,823788781	0,647068359	0,263371101	0,763031024	0,189020386	0,728464934	0,913360154
0,517949273	0,974271697	0,434949497	0,802331048	0,832649979	0,485070685	0,617340995	0,511223616	0,016799784	0,085329574	0,575762859	0,076780079	0,808143467	0,487060933	0,257307697	0,970877922	0,956806754	0,453300055	0,716854754	0,823380983	0,003630825	0,094328119	0,923810968	0,656129192	0,427580323	0,717469213	0,131897203	0,853757629	0,045633583	0,062562368	0,2521838	0,991488763	0,972719652	0,389887933	0,844419555
0,742918557	0,803034383	0,239681757	0,811066639	0,758215047	0,1888009	0,875683131	0,401197072	0,262909895	0,714230366	0,14864661	0,468480779	0,535485805	0,150159973	0,123745672	0,075169424	0,729731587	0,773330698	0,542747369	0,92088172	0,267802803	0,061841064	0,593788241	0,637630243	0,661315125	0,951276867	0,837395071	0,854320907	0,268814282	0,472013441	0,260965392	0,528659507	0,078343216	0,467699466	0,124953617
0,65900777	0,669464811	0,723511231	0,547461647	0,280657428	0,014948188	0,781843742	0,663983547	0,839328021	0,442085681	0,217490751	0,560536195	0,152272337	0,808852089	0,980367488	0,551645228	0,732416654	0,240210742	0,416635881	0,931832874	0,288535971	0,774356704	0,634106174	0,623488496	0,889099985	0,864670524	0,027372777	0,207470414	0,594087137	0,616373233	0,905522213	0,822020061	0,821271775	0,978959511	0,793778398
0,183075116	0,385948307	0,333689869	0,961355352	0,445590074	0,863719991	0,344135157	0,112671339	0,570212167	0,21233142	0,195166628	0,103996144	0,476650091	0,042490188	0,75004961	0,832232261	0,606987758	0,872964574	0,352539246	0,540417564	0,868488608	0,651433373	0,52624641	0,440394065	0,09735365	0,226044689	0,406888442	0,598656242	0,716841745	0,687594813	0,229841649	0,917562131	0,335930471	0,174779137	0,21836804
0,489608366	0,466793008	0,360714792	0,686822407	0,000408554	0,690564596	0,755333201	0,122583906	0,286408256	0,499136758	0,815640132	0,529985028	0,445605377	0,085831485	0,920002394	0,450294283	0,323337079	0,422278258	0,429647064	0,441192471	0,911110499	0,971258719	0,25250857	0,934914092	0,217385072	0,944128683	0,740140454	0,819886348	0,584749133	0,97921588	0,401410628	0,223390764	0,601741436	0,085791039	0,600990315
0,398322951	0,089181832	0,475289291	0,107311892	0,564303964	0,874998081	0,220889919	0,486925509	0,426523466	0,049740132	0,631495162	0,525995574	0,305540276	0,286110226	0,082993624	0,933021067	0,111555924	0,95440912	0,174459148	0,896764492	0,143116531	0,550213392	0,81370276	0,859749557	0,681488267	0,40874379	0,27831105	0,958179501	0,07265664	0,72446586	0,220775043	0,163528762	0,388418358	0,565453345	0,371511895
0,593695345	0,663466267	0,81724909	0,844831373	0,883934901	0,443955473	0,660035788	0,963531427	0,92814434	0,609153037	0,851149622	0,113979439	0,30905254	0,895028149	0,991532848	0,498331387	0,183926354	0,853818208	0,113212697	0,193995617	0,658699534	0,310454751	0,903886495	0,616133726	0,803503006	0,591935704	0,388844688	0,753488354	0,300971387	0,697452012	0,488278584	0,6903773	0,697963756	0,920296718	0,6315706
0,761652445	0,543817094	0,302350001	0,57661908	0,234987912	0,342992741	0,312714206	0,457792614	0,121333189	0,505008347	0,812550179	0,843524497	0,293993336	0,984897516	0,512632304	0,385742294	0,528028154	0,415356257	0,98235097	0,211162382	0,778558918	0,964094326	0,466345938	0,407141269	0,358793121	0,110844195	0,103895357	0,69738849	0,881589438	0,316920863	0,210516713	0,202589852	0,113254793	0,265339699	0,205250465
0,927276948	0,17481722	0,574793748	0,382112177	0,677021709	0,723291727	0,313894589	0,015142145	0,463294803	0,112428643	0,67705631	0,780857961	0,723986681	0,684043737	0,142927583	0,98087558	0,975481785	0,72588511	0,104610533	0,752971056	0,292057701	0,84552681	0,087279597	0,582760168	0,88010669	0,727639893	0,279907907	0,985654596	0,039982583	0,767818997	0,25762259	0,550767053	0,305100308	0,387297393	0,623925814
0,056576743	0,190682019	0,44471975	0,145764532	0,799004574	0,245381535	0,848720468	0,664115476	0,075041389	0,390565738	0,757131857	0,335439895	0,833473154	0,295450032	0,281938627	0,221620485	0,339525098	0,801744874	0,700102294	0,817459963	0,07767894	0,172843891	0,620231378	0,103754513	0,645681137	0,931487377	0,573767196	0,30709506	0,617840813	0,568062077	0,007834842	0,327514617	0,394869761	0,930021577	0,321571721
0,44826711	0,812398721	0,797750311	0,597847254	0,146355729	0,030780245	0,577381181	0,444347988	0,019813629	0,745080029	0,541232469	0,386475021	0,47766188	0,218690075	0,209781306	0,548655959	0,73821039	0,998511634	0,156954981	0,872877483	0,034939936	0,604574443	0,855897569	0,853202113	0,842229807	0,318655012	0,270940605	0,623025494	0,279884995	0,033685361	0,324150949	0,022739009	0,367407241	0,382721407	0,143763948
0,195690484	0,357826448	0,050737243	0,447248233	0,909246716	0,335748646	0,652362118	0,024217809	0,858954848	0,243077154	0,358493371	0,281661414	0,248405359	0,359490763	0,136884072	0,361318769	0,556501112	0,461767628	0,256729078	0,087027599	0,455515906	0,426012649	0,743784516	0,577442845	0,232238806	0,549230239	0,596787028	0,435316179	0,365644887	0,406008964	0,282953386	0,011593286	0,522710604	0,967546433	0,497266628
0,918509316	0,473037306	0,374555828	0,388833754	0,629078915	0,867446188	0,187730296	0,453144239	0,240025755	0,413761113	0,209350246	0,064207678	0,214224274	0,974698899	0,486303383	0,981526123	0,076273529	0,384216393	0,816349267	0,416731526	0,055600214	0,830422483	0,402698185	0,765543967	0,696525371	0,546902798	0,718570391	0,502109197	0,422196762	0,051367609	0,297119175	0,891961951	0,423743228	0,897366814	0,392094476
0,943028026	0,304726236	0,582383998	0,851584491	0,566022596	0,557573048	0,60537632	0,488254471	0,279058956	0,457170607	0,592410817	0,388490291	0,21627253	0,790025235	0,522029859	0,200705169	0,693111298	0,080782188	0,404592586	0,835756331	0,1736987	0,424147935	0,379499837	0,490218003	0,955469643	0,882519851	0,257824514	0,66050386	0,806698635	0,838779129	0,230694167	0,048591728	0,724992957	0,323228271	0,034388357
0,277674068	0,547251405	0,935480557	0,396685907	0,551980257	0,716151903	0,763021468	0,931158062	0,757495172	0,409507056	0,12722196	0,444057682	0,207322624	0,92207828	0,201745518	0,903213636	0,854216491	0,171554059	0,898341604	0,166580644	0,368333138	0,488243679	0,348900886	0,23050124	0,971752798	0,452928592	0,945146452	0,528843859	0,966540999	0,686904175	0,8168381	0,251854702	0,285815863	0,152938663	0,378955999
0,369191973	0,609008981	0,846672475	0,120719078	0,844649789	0,22541623	0,763915214	0,087078756	0,659083951	0,787354455	0,882321992	0,056198101	0,988926429	0,014081468	0,660088676	0,211317835	0,515864178	0,84966894	0,751125343	0,071653738	0,316554904	0,827888547	0,6178957	0,002284407	0,524584555	0,662096771	0,551267594	0,956575527	0,116181759	0,66615043	0,813414033	0,049166426	0,906041173	0,444002929	0,939525641
0,542656642	0,623713242	0,986114992	0,684743852	0,648701271	0,30645617	0,280272386	0,157509072	0,587118164	0,50930296	0,705644045	0,227190052	0,212265407	0,434379668	0,682150927	0,283716928	0,894078982	0,710602185	0,351314933	0,983301339	0,36174309	0,696672569	0,621159733	0,043067723	0,880736881	0,256511205	0,417328138	0,858917168	0,748298503	0,968998879	0,081062018	0,905577504	0,366499129	0,178140856	0,715592548
0,794934396	0,394637747	0,060223289	0,953413048	0,017517196	0,641097634	0,827053672	0,118926513	0,729228137	0,141538712	0,691628347	0,47626418	0,948096519	0,319229345	0,158107466	0,16472918	0,737270056	0,582002693	0,909351394	0,824170683	0,890739313	0,237446167	0,444601786	0,805236701	0,282645629	0,813160371	0,162341283	0,268023416	0,604242367	0,246806355	0,767035919	0,296727921	0,590554206	0,502243216	0,316944595
